Provincia,Trimestre,Año,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Total,Porcent_Altas_vel
La Pampa,1,2015,26000,10000,13000,10,108161,45.312081064339274
La Pampa,2,2015,27000,24000,25000,10,136164,55.82239064657325
Mendoza,2,2014,31000,10000,5000,10,253720,18.13416364496295
Tucumán,4,2016,37721,14389,1400,10,247535,21.621184882945848
La Pampa,1,2016,15000,78000,71000,11,653193,25.10911782581871
La Pampa,2,2016,15000,119000,96000,11,733555,31.355658403255383
La Pampa,3,2016,15000,224000,114000,11,792990,44.51645039660021
La Pampa,4,2016,16000,335000,132000,11,917494,52.64459495102965
Mendoza,1,2015,38000,16000,6000,11,540774,11.09724210113652
La Pampa,1,2017,331000,192000,165000,11,1117029,61.59293984310166
Misiones,4,2014,8731,2952,54000,12,677628,9.694847320358663
Mendoza,4,2014,36000,14000,5000,12,546234,10.071141671884211
Tierra Del Fuego,3,2018,2270,231000,24000,13,491852,52.3090279189675
San Luis,1,2022,3837,9802,68612,13,823140,9.993925699152028
San Luis,3,2022,20813,12061,67438,13,488703,20.528828347687657
San Luis,2,2022,21217,11052,67438,13,487375,20.46063093100795
Mendoza,4,2015,38000,41000,5000,13,522732,16.071906827973034
Tucumán,1,2017,39155,15951,1383,13,248654,22.72314139326132
Mendoza,2,2015,42000,16000,5000,13,527464,11.946407716924758
Mendoza,3,2015,45000,18000,5000,13,522443,13.018262279329996
La Rioja,2,2018,4198,5640,20000,15,80916,36.8938158089871
Catamarca,3,2019,9285,6333,72000,15,181233,48.35377663008393
Formosa,4,2016,4114,3855,649000,17,677869,96.91931626907264
Mendoza,1,2016,47000,43000,5000,17,526393,18.05058197962359
Mendoza,3,2016,73000,48000,5000,17,351203,35.8815272079111
Mendoza,3,2017,115000,67000,29000,19,496480,42.50302126973896
Mendoza,2,2016,61000,44000,5000,20,753942,14.592634446681574
Mendoza,4,2016,79000,49000,5000,20,440214,30.217121672641035
Tucumán,2,2017,42536,17788,1371,21,250294,24.657402894196427
La Pampa,2,2017,558000,336000,244000,21,1561699,72.87070043587146
San Luis,3,2021,2405,6491,67942,22,177804,43.22737396234055
San Luis,2,2021,2703,5418,65946,22,182758,40.539401831930746
San Luis,1,2021,2926,4429,62913,22,177096,39.69033744409812
San Luis,4,2020,3490,2688,62239,22,177377,38.583920124931645
Formosa,1,2017,4446,4058,635000,22,664072,96.90605837921188
Neuquén,1,2014,84000,1582,2000,22,1155885,7.5789546537934145
Mendoza,1,2017,86000,50000,5000,22,439223,32.1071528585707
Mendoza,2,2017,92000,50000,5000,22,457225,32.15528459729892
Misiones,1,2015,12387,8543,194000,26,1235998,17.391290277168732
Neuquén,3,2014,107000,2865,10000,27,204603,58.59738127006935
Tierra Del Fuego,1,2019,3623,641000,80000,29,900503,80.47191403026976
Neuquén,2,2014,92000,2289,2000,30,180143,53.468078137923754
Río Negro,4,2014,94000,2319,4000,30,193806,51.778066726520336
Salta,1,2016,17748,6643,119000,31,220952,64.9109308809153
Santiago Del Estero,2,2018,18721,3278,31000,31,155698,34.05952549165693
Tierra Del Fuego,2,2019,4241,1573,96000,32,272670,37.351377122529065
Misiones,2,2015,15022,10072,408000,33,1453158,29.80591236465684
Río Negro,1,2015,94000,2632,2000,42,193131,51.09174601695222
Entre Ríos,1,2014,10828,746000,0,43,879502,86.05676848944061
Misiones,3,2015,17367,11654,559000,43,1607107,36.59146528513658
Entre Ríos,2,2014,12564,1162,0,44,135495,10.162736632348057
Entre Ríos,3,2014,12569,1310,0,48,136796,10.180853241322845
Salta,2,2016,18759,7129,140000,49,249095,66.61594973805175
Salta,3,2016,20229,8099,197000,50,304621,73.98636338269522
Río Negro,2,2015,97000,3240,1000,51,196591,51.523721838741345
La Pampa,3,2017,855000,588000,327000,51,2186089,80.96884436086546
Misiones,4,2015,17281,13690,675000,52,1725221,40.92362659624477
Río Negro,3,2015,99000,3826,1000,62,200408,51.83824997006108
Salta,3,2017,32433,14620,2315,63,777755,6.355600414012125
