Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2019,1,Jujuy,6.82,26.68
2019,1,La Pampa,18.59,56.42
2019,1,La Rioja,8.49,31.89
2019,1,Mendoza,12.28,43.99
2019,1,Misiones,8.18,30.04
2019,1,Neuquén,12.80,42.99
2019,1,Río Negro,13.66,44.41
2019,1,Salta,8.78,36.23
2019,1,San Juan,11.16,43.79
2019,1,San Luis,8.58,29.99
2019,1,Santa Cruz,9.66,32.47
2019,1,Santa Fe,19.58,62.26
2019,1,Santiago del Estero,7.55,30.43
2019,1,Tierra del Fuego,15.01,50.62
2019,1,Tucumán,12.39,50.03
2019,2,Buenos Aires,16.33,49.88
2019,2,Capital Federal,37.11,89.03
2019,2,Catamarca,8.52,33.51
2019,2,Chaco,7.69,28.78
2019,2,Chubut,14.17,46.22
2019,2,Córdoba,17.33,56.60
2019,2,Corrientes,8.42,31.96
2019,2,Entre Ríos,14.59,48.80
2019,2,Formosa,6.13,24.09
2019,2,Jujuy,6.73,26.31
2019,2,La Pampa,18.19,55.20
2019,2,La Rioja,8.14,30.56
2019,2,Mendoza,11.82,42.35
2019,2,Misiones,7.97,29.27
2019,2,Neuquén,12.48,41.94
2019,2,Río Negro,13.14,42.71
2019,2,Salta,8.52,35.18
2019,2,San Juan,10.89,42.75
2019,2,San Luis,6.68,23.33
2019,2,Santa Cruz,9.27,31.14
2019,2,Santa Fe,19.14,60.87
2019,2,Santiago del Estero,7.39,29.77
2019,2,Tierra del Fuego,14.36,48.44
2019,2,Tucumán,12.05,48.63
2019,3,Buenos Aires,19.63,59.81
2019,3,Capital Federal,48.73,117.04
2019,3,Catamarca,7.92,31.15
2019,3,Chaco,7.39,27.65
2019,3,Chubut,13.75,44.84
2019,3,Córdoba,16.42,53.64
2019,3,Corrientes,8.19,31.11
2019,3,Entre Ríos,14.12,47.24
2019,3,Formosa,5.98,23.51
2019,3,Jujuy,6.56,25.66
2019,3,La Pampa,17.92,54.38
2019,3,La Rioja,7.59,28.52
2019,3,Mendoza,11.44,40.98
2019,3,Misiones,7.67,28.16
2019,3,Neuquén,12.23,41.09
2019,3,Río Negro,12.74,41.41
2019,3,Salta,8.07,33.31
2019,3,San Juan,10.65,41.81
2019,3,San Luis,7.81,27.28
2019,3,Santa Cruz,8.94,30.05
2019,3,Santa Fe,18.44,58.65
2019,3,Santiago del Estero,7.15,28.82
2019,3,Tierra del Fuego,14.80,49.92
2019,3,Tucumán,11.46,46.26
2019,4,Buenos Aires,19.21,58.41
2019,4,Capital Federal,48.12,115.69
2019,4,Catamarca,7.53,29.59
2019,4,Chaco,7.26,27.16
2019,4,Chubut,13.34,43.53
2019,4,Córdoba,15.96,52.13
2019,4,Corrientes,8.07,30.64
2019,4,Entre Ríos,13.89,46.46
2019,4,Formosa,5.86,23.04
2019,4,Jujuy,6.46,25.25
2019,4,La Pampa,20.00,60.70
2019,4,La Rioja,7.26,27.27
2019,4,Mendoza,11.05,39.60
2019,4,Misiones,7.48,27.47
2019,4,Neuquén,11.98,40.25
2019,4,Río Negro,12.28,39.92
2019,4,Salta,7.84,32.38
2019,4,San Juan,10.37,40.72
2019,4,San Luis,7.49,26.17
2019,4,Santa Cruz,8.44,28.36
2019,4,Santa Fe,18.25,58.05
2019,4,Santiago del Estero,7.03,28.34
2019,4,Tierra del Fuego,14.20,47.91
2019,4,Tucumán,11.13,44.95
2020,1,Buenos Aires,18.65,56.57
2020,1,Capital Federal,47.36,114.02
2020,1,Catamarca,7.18,28.23
2020,1,Chaco,7.00,26.19
2020,1,Chubut,12.78,41.70
2020,1,Córdoba,15.32,50.03
2020,1,Corrientes,7.84,29.78
2020,1,Entre Ríos,13.52,45.22
2020,1,Formosa,5.73,22.50
2020,1,Jujuy,6.25,24.43
2020,1,La Pampa,19.79,60.06
2020,1,La Rioja,6.91,25.96
2020,1,Mendoza,10.62,38.07
2020,1,Misiones,7.23,26.54
2020,1,Neuquén,11.72,39.37
2020,1,Río Negro,11.86,38.55
2020,1,Salta,7.58,31.29
2020,1,San Juan,10.08,39.59
2020,1,San Luis,7.18,25.08
2020,1,Santa Cruz,8.10,27.21
2020,1,Santa Fe,17.71,56.31
2020,1,Santiago del Estero,6.90,27.79
2020,1,Tierra del Fuego,13.69,46.18
2020,1,Tucumán,10.81,43.63
2020,2,Buenos Aires,14.19,42.94
2020,2,Capital Federal,30.89,74.44
2020,2,Catamarca,8.20,32.25
2020,2,Chaco,6.96,26.03
2020,2,Chubut,12.41,40.50
2020,2,Córdoba,14.83,48.44
2020,2,Corrientes,7.79,29.57
2020,2,Entre Ríos,13.24,44.28
2020,2,Formosa,5.81,22.84
2020,2,Jujuy,7.22,28.24
2020,2,La Pampa,19.71,59.83
2020,2,La Rioja,7.51,28.20
2020,2,Mendoza,10.25,36.73
2020,2,Misiones,7.01,25.73
2020,2,Neuquén,11.47,38.52
2020,2,Río Negro,11.80,38.37
2020,2,Salta,7.38,30.49
2020,2,San Juan,9.89,38.82
2020,2,San Luis,6.96,24.34
2020,2,Santa Cruz,7.72,25.93
2020,2,Santa Fe,17.33,55.10
2020,2,Santiago del Estero,6.84,27.57
2020,2,Tierra del Fuego,13.19,44.50
2020,2,Tucumán,10.80,43.60
2020,3,Buenos Aires,18.40,55.56
2020,3,Capital Federal,46.58,112.41
2020,3,Catamarca,8.08,31.75
2020,3,Chaco,6.84,25.60
2020,3,Chubut,11.75,38.34
2020,3,Córdoba,14.59,47.64
2020,3,Corrientes,7.69,29.22
2020,3,Entre Ríos,13.06,43.69
2020,3,Formosa,5.75,22.60
2020,3,Jujuy,6.00,23.46
2020,3,La Pampa,19.65,59.65
2020,3,La Rioja,7.46,28.01
2020,3,Mendoza,9.85,35.30
2020,3,Misiones,7.03,25.83
2020,3,Neuquén,11.19,37.60
2020,3,Río Negro,11.38,36.99
2020,3,Salta,7.23,29.84
2020,3,San Juan,9.56,37.54
2020,3,San Luis,6.76,23.62
2020,3,Santa Cruz,7.43,24.97
2020,3,Santa Fe,17.63,56.08
2020,3,Santiago del Estero,6.77,27.28
2020,3,Tierra del Fuego,12.39,41.79
2020,3,Tucumán,10.72,43.26
2020,4,Buenos Aires,18.35,55.28
2020,4,Capital Federal,46.28,111.79
2020,4,Catamarca,8.04,31.61
2020,4,Chaco,6.71,25.09
2020,4,Chubut,11.72,38.22
2020,4,Córdoba,14.17,46.28
2020,4,Corrientes,7.59,28.81
2020,4,Entre Ríos,12.87,43.03
2020,4,Formosa,5.61,22.04
2020,4,Jujuy,5.90,23.07
2020,4,La Pampa,19.64,59.60
2020,4,La Rioja,7.41,27.82
2020,4,Mendoza,9.83,35.21
2020,4,Misiones,6.77,24.85
2020,4,Neuquén,11.17,37.52
2020,4,Río Negro,11.25,36.56
2020,4,Salta,7.10,29.30
2020,4,San Juan,9.54,37.44
2020,4,San Luis,6.74,23.55
2020,4,Santa Cruz,7.37,24.78
2020,4,Santa Fe,16.70,53.10
2020,4,Santiago del Estero,6.75,27.21
2020,4,Tierra del Fuego,12.31,41.53
2020,4,Tucumán,10.65,42.99
2021,1,Buenos Aires,18.32,55.58
2021,1,Capital Federal,45.39,109.28
2021,1,Catamarca,6.42,25.24
2021,1,Chaco,6.32,23.63
2021,1,Chubut,11.87,38.72
2021,1,Córdoba,13.98,45.65
2021,1,Corrientes,7.06,26.79
2021,1,Entre Ríos,12.19,40.77
2021,1,Formosa,5.18,20.35
2021,1,Jujuy,5.59,21.87
2021,1,La Pampa,19.91,60.42
2021,1,La Rioja,6.19,23.25
2021,1,Mendoza,9.90,35.47
2021,1,Misiones,6.53,23.98
2021,1,Neuquén,11.25,37.80
2021,1,Río Negro,11.10,36.10
2021,1,Salta,6.78,28.01
2021,1,San Juan,9.61,37.74
2021,1,San Luis,6.80,23.77
2021,1,Santa Cruz,7.43,24.95
2021,1,Santa Fe,16.16,51.40
2021,1,Santiago del Estero,6.38,25.69
2021,1,Tierra del Fuego,12.54,42.30
2021,1,Tucumán,9.67,39.03
2021,2,Buenos Aires,13.65,41.31
2021,2,Capital Federal,27.67,66.68
2021,2,Catamarca,6.44,25.34
2021,2,Chaco,6.30,23.56
2021,2,Chubut,11.82,38.57
2021,2,Córdoba,13.31,43.49
2021,2,Corrientes,7.19,27.30
2021,2,Entre Ríos,12.17,40.70
2021,2,Formosa,5.31,20.86
2021,2,Jujuy,4.77,18.67
2021,2,La Pampa,19.91,60.42
2021,2,La Rioja,5.69,21.37
2021,2,Mendoza,9.86,35.33
2021,2,Misiones,6.45,23.67
2021,2,Neuquén,11.20,37.63
2021,2,Río Negro,11.26,36.60
2021,2,Salta,6.76,27.92
2021,2,San Juan,9.59,37.64
2021,2,San Luis,6.78,23.69
